Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1600000US3700160,3700160,"Aberdeen town, North Carolina",7265,19
1600000US3700440,3700440,"Advance CDP, North Carolina",726,235
1600000US3700500,3700500,"Ahoskie town, North Carolina",4895,35
1600000US3700640,3700640,"Alamance village, North Carolina",1034,182
1600000US3700680,3700680,"Albemarle city, North Carolina",15874,36
1600000US3701000,3701000,"Alliance town, North Carolina",732,177
1600000US3701140,3701140,"Altamahaw CDP, North Carolina",332,156
1600000US3701380,3701380,"Andrews town, North Carolina",1971,407
1600000US3701400,3701400,"Angier town, North Carolina",5151,161
1600000US3701420,3701420,"Ansonville town, North Carolina",710,222
1600000US3701520,3701520,"Apex town, North Carolina",45899,73
1600000US3701560,3701560,"Aquadale CDP, North Carolina",221,122
1600000US3701640,3701640,"Arapahoe town, North Carolina",575,123
1600000US3701720,3701720,"Archdale city, North Carolina",11509,161
1600000US3701760,3701760,"Archer Lodge town, North Carolina",4688,21
1600000US3702080,3702080,"Asheboro city, North Carolina",25863,42
1600000US3702140,3702140,"Asheville city, North Carolina",89318,43
1600000US3702240,3702240,"Ashley Heights CDP, North Carolina",461,141
1600000US3702320,3702320,"Askewville town, North Carolina",224,78
1600000US3702460,3702460,"Atkinson town, North Carolina",323,92
1600000US3702480,3702480,"Atlantic CDP, North Carolina",408,104
1600000US3702500,3702500,"Atlantic Beach town, North Carolina",1763,196
1600000US3702580,3702580,"Aulander town, North Carolina",962,250
1600000US3702620,3702620,"Aurora town, North Carolina",591,193
1600000US3702700,3702700,"Autryville town, North Carolina",231,91
1600000US3702760,3702760,"Avery Creek CDP, North Carolina",2320,413
1600000US3702780,3702780,"Avon CDP, North Carolina",848,376
1600000US3702840,3702840,"Ayden town, North Carolina",5120,20
1600000US3702960,3702960,"Badin town, North Carolina",2009,334
1600000US3703020,3703020,"Bailey town, North Carolina",416,120
1600000US3703100,3703100,"Bakersville town, North Carolina",522,157
1600000US3703150,3703150,"Bald Head Island village, North Carolina",225,43
1600000US3703220,3703220,"Balfour CDP, North Carolina",1490,312
1600000US3703500,3703500,"Banner Elk town, North Carolina",1451,409
1600000US3703640,3703640,"Barker Heights CDP, North Carolina",1609,353
1600000US3703665,3703665,"Barker Ten Mile CDP, North Carolina",936,214
1600000US3703840,3703840,"Bath town, North Carolina",251,66
1600000US3703960,3703960,"Bayboro town, North Carolina",1378,267
1600000US3704015,3704015,"Bayshore CDP, North Carolina",3790,678
1600000US3704040,3704040,"Bayview CDP, North Carolina",247,201
1600000US3704180,3704180,"Bear Grass town, North Carolina",129,96
1600000US3704260,3704260,"Beaufort town, North Carolina",4170,36
1600000US3704510,3704510,"Beech Mountain town, North Carolina",551,72
1600000US3704640,3704640,"Belhaven town, North Carolina",1997,340
1600000US3704680,3704680,"Bell Arthur CDP, North Carolina",206,103
1600000US3704840,3704840,"Belmont city, North Carolina",11373,29
1600000US3704950,3704950,"Belville town, North Carolina",2137,323
1600000US3704955,3704955,"Belvoir CDP, North Carolina",670,297
1600000US3704960,3704960,"Belwood town, North Carolina",934,207
1600000US3705020,3705020,"Bennett CDP, North Carolina",377,169
1600000US3705040,3705040,"Benson town, North Carolina",3578,18
1600000US3705049,3705049,"Bent Creek CDP, North Carolina",1271,285
1600000US3705135,3705135,"Bermuda Run town, North Carolina",2540,22
1600000US3705220,3705220,"Bessemer City city, North Carolina",5411,27
1600000US3705340,3705340,"Bethania town, North Carolina",378,88
1600000US3705460,3705460,"Bethel town, North Carolina",1656,307
1600000US3705530,3705530,"Bethlehem CDP, North Carolina",4592,549
1600000US3705660,3705660,"Beulaville town, North Carolina",1516,294
1600000US3705880,3705880,"Biltmore Forest town, North Carolina",1517,86
1600000US3706000,3706000,"Biscoe town, North Carolina",2420,519
1600000US3706080,3706080,"Black Creek town, North Carolina",787,208
1600000US3706140,3706140,"Black Mountain town, North Carolina",8110,23
1600000US3706240,3706240,"Bladenboro town, North Carolina",2037,483
1600000US3706500,3706500,"Blowing Rock town, North Carolina",1152,181
1600000US3706510,3706510,"Blue Clay Farms CDP, North Carolina",0,12
1600000US3706660,3706660,"Boardman town, North Carolina",227,110
1600000US3706740,3706740,"Bogue town, North Carolina",668,106
1600000US3706760,3706760,"Boiling Spring Lakes city, North Carolina",5777,32
1600000US3706800,3706800,"Boiling Springs town, North Carolina",4645,21
1600000US3706820,3706820,"Bolivia town, North Carolina",227,115
1600000US3706860,3706860,"Bolton town, North Carolina",748,140
1600000US3706980,3706980,"Bonnetsville CDP, North Carolina",507,280
